step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,errorBalanceOrig,errorBalanceDest,type_TRANSFER,Real_isFraud,Pred_LogisticRegression,Pred_RandomForest,Pred_IsolationForest,AnomalyScore_IF
13,395788.47,28989.0,0.0,2631888.76,3184854.93,-366799.47,-157177.70000000065,False,0.0,0.0,0.0,0,-0.3264493803640229
14,49363.02,0.0,0.0,218547.36,195406.34,-49363.02,72504.04000000001,False,0.0,0.0,0.0,0,-0.36143834295465516
9,1692136.64,259163.06,0.0,3043498.97,5282462.94,-1432973.5799999998,-546827.3300000001,True,0.0,0.0,0.0,0,-0.1571552170991699
9,273422.95,0.0,0.0,596007.12,1109213.86,-273422.95,-239783.79000000004,False,0.0,0.0,0.0,0,-0.35733208292715507
14,148378.48,0.0,0.0,217138.47,2270216.37,-148378.48,-1904699.4200000002,False,0.0,0.0,0.0,0,-0.3003573200584522
11,148766.3,0.0,0.0,1911995.2,2060761.5,-148766.3,0.0,False,0.0,0.0,0.0,0,-0.3697585822496125
11,580180.08,0.0,0.0,3411133.3,4088447.01,-580180.08,-97133.62999999989,False,0.0,0.0,0.0,0,-0.30163425761148455
13,86668.94,0.0,0.0,288824.21,606556.15,-86668.94,-231063.0,False,0.0,0.0,0.0,0,-0.3683259184713632
10,287354.66,114505.66,0.0,371775.48,0.0,-172848.99999999997,659130.1399999999,False,0.0,0.0,0.0,0,-0.3212017685277044
13,401828.28,205758.31,0.0,5804445.76,6206274.04,-196069.97000000003,0.0,False,0.0,0.0,0.0,0,-0.27182255170802344
8,316398.47,5034.0,0.0,0.0,447435.13,-311364.47,-131036.66000000003,False,0.0,0.0,0.0,0,-0.33827053367329046
14,57557.4,0.0,0.0,1947683.47,2005240.87,-57557.4,-2.3283064365386963e-10,False,0.0,0.0,0.0,0,-0.34955470680863215
13,124194.72,1055155.95,930961.22,39012.72,163207.45,0.010000000009313226,-0.010000000009313226,False,0.0,0.0,0.0,0,-0.1798050772781622
13,261263.22,4051.0,0.0,1960.79,263224.02,-257212.22,-0.010000000009313226,False,0.0,0.0,0.0,0,-0.36701389446878635
10,231408.39,279492.4,48084.01,6103160.34,6651661.27,7.275957614183426e-12,-317092.54000000004,False,0.0,0.0,0.0,0,-0.2362263033859594
11,277260.76,0.0,0.0,786383.94,1031555.24,-277260.76,32089.459999999963,False,0.0,0.0,0.0,0,-0.3716224001267071
11,19118.92,0.0,0.0,207646.16,764576.07,-19118.92,-537810.99,True,0.0,1.0,0.0,0,-0.30676572110599953
12,335028.21,0.0,0.0,741413.94,1267641.42,-335028.21,-191199.27000000002,False,0.0,0.0,0.0,0,-0.3627790243440634
12,336417.16,1985.0,0.0,208.0,336625.16,-334432.16,0.0,False,0.0,0.0,0.0,0,-0.3623800626736434
11,131017.41,0.0,0.0,3257613.59,3388631.0,-131017.41,0.0,False,0.0,0.0,0.0,0,-0.3503046923164522
14,409284.11,565.0,0.0,10174.0,58847.71,-408719.11,360610.39999999997,False,0.0,0.0,0.0,0,-0.3231762924780668
13,253542.97,0.0,0.0,2329151.68,2441498.37,-253542.97,141196.28000000026,False,0.0,0.0,0.0,0,-0.35734029860795474
12,82863.09,180.0,0.0,0.0,493970.45,-82683.09,-411107.36,False,0.0,0.0,0.0,0,-0.36923932564165857
10,791291.63,306547.24,0.0,3879227.36,4882216.2,-484744.39,-211697.20999999996,True,0.0,0.0,0.0,0,-0.20470753335795866
14,196945.47,30644.0,0.0,0.0,0.0,-166301.47,196945.47,False,0.0,0.0,0.0,0,-0.3514006367879599
10,110429.46,212791.07,102361.6,2358886.78,2288391.46,0.00999999999476131,180924.7799999998,False,0.0,0.0,0.0,0,-0.2998158137992098
14,377052.28,32528.0,0.0,421172.67,231165.58,-344524.28,567059.37,False,0.0,0.0,0.0,0,-0.3148407327809629
8,263842.52,0.0,0.0,1421489.09,1379576.69,-263842.52,305754.92000000016,False,0.0,0.0,0.0,0,-0.3324001155251648
10,310025.83,0.0,0.0,346150.29,656176.12,-310025.83,0.0,False,0.0,0.0,0.0,0,-0.3642361705087963
13,254710.43,389918.0,135207.57,345864.41,679867.53,0.0,-79292.69000000006,False,0.0,0.0,0.0,0,-0.29644961826772664
8,180533.39,0.0,0.0,976865.43,1157398.83,-180533.39,-0.010000000009313226,False,0.0,0.0,0.0,0,-0.34317868873044544
8,36841.09,0.0,0.0,101865.0,177218.29,-36841.09,-38512.20000000001,False,0.0,1.0,0.0,0,-0.34614692351097975
9,391102.19,0.0,0.0,491575.35,860537.24,-391102.19,22140.300000000047,False,0.0,0.0,0.0,0,-0.34419011016159423
14,283349.34,0.0,0.0,5317863.23,6943818.12,-283349.34,-1342605.5499999998,False,0.0,0.0,0.0,0,-0.26274357081641414
8,121517.54,20059.0,0.0,0.0,121517.54,-101458.54,0.0,True,0.0,1.0,0.0,0,-0.2855554060153445
9,35109.2,0.0,0.0,54400.41,89509.6,-35109.2,0.00999999999476131,False,0.0,1.0,0.0,0,-0.3554357683186403
8,120548.45,0.0,0.0,4427357.17,4547905.63,-120548.45,-0.009999999776482582,False,0.0,0.0,0.0,0,-0.3106430090762774
14,81342.18,0.0,0.0,113283.0,26696.89,-81342.18,167928.28999999998,False,0.0,0.0,0.0,0,-0.35598406891205736
13,624190.28,112748.0,0.0,359215.26,983405.54,-511442.28,0.0,True,0.0,0.0,0.0,0,-0.2737070600415906
9,279095.28,0.0,0.0,1998109.46,4006489.94,-279095.28,-1729285.1999999997,False,0.0,0.0,0.0,0,-0.30118389222950487
12,3290.94,0.0,0.0,785539.35,788830.28,-3290.94,0.009999999892897904,False,0.0,0.0,0.0,0,-0.35837416561679913
13,126451.05,0.0,0.0,539306.72,848634.05,-126451.05,-182876.28000000003,False,0.0,0.0,0.0,0,-0.3711446643396389
10,51594.35,81883.0,30288.65,0.0,35016.03,0.0,16578.32,False,0.0,0.0,0.0,0,-0.34725908368907554
11,286480.94,0.0,0.0,2547123.68,3741949.5,-286480.94,-908344.8799999999,False,0.0,0.0,0.0,0,-0.33260185781458346
9,121848.92,0.0,0.0,2165620.33,3154952.8,-121848.92,-867483.5499999998,False,0.0,0.0,0.0,0,-0.3279134289467809
14,26984.32,10374.0,0.0,901472.97,1171380.89,-16610.32,-242923.59999999998,False,0.0,0.0,0.0,0,-0.34847154985193834
13,855803.92,0.0,0.0,7416047.54,8271851.46,-855803.92,0.0,False,0.0,0.0,0.0,0,-0.18807016930718679
11,514225.09,5328.0,0.0,219417.04,733642.14,-508897.09,-0.010000000009313226,False,0.0,0.0,0.0,0,-0.3390126238811056
13,4433.29,0.0,0.0,598121.79,602555.08,-4433.29,1.1641532182693481e-10,False,0.0,0.0,0.0,0,-0.3569959903497068
11,50081.12,281327.0,231245.88,0.0,160609.29,0.0,-110528.17000000001,False,0.0,0.0,0.0,0,-0.3090853067710436
11,282757.43,270.0,0.0,422482.82,705240.26,-282487.43,-0.010000000009313226,False,0.0,0.0,0.0,0,-0.3711239061348025
11,305086.83,232943.94,0.0,6318.0,0.0,-72142.89000000001,311404.83,False,0.0,1.0,0.0,0,-0.32812518094236104
13,95968.6,308097.71,212129.11,1566752.07,1228452.81,2.9103830456733704e-11,434267.8600000001,False,0.0,0.0,0.0,0,-0.27830067376884027
10,261024.47,282707.82,21683.35,767120.94,1411984.98,7.275957614183426e-12,-383839.57000000007,False,0.0,1.0,0.0,0,-0.31461343996786734
12,363868.28,21504.0,0.0,0.0,363868.28,-342364.28,0.0,False,0.0,0.0,0.0,0,-0.3570776704212948
8,413301.64,4200.85,0.0,12252933.57,12588180.96,-409100.79000000004,78054.25,False,0.0,0.0,0.0,0,-0.14470108354747235
8,27441.92,19151.0,0.0,108525.0,1263934.85,-8290.919999999998,-1127967.9300000002,False,0.0,1.0,0.0,0,-0.30076257491649144
12,249296.79,0.0,0.0,516445.0,1137839.61,-249296.79,-372097.82000000007,False,0.0,0.0,0.0,0,-0.3630504670220117
13,181862.19,22100.0,0.0,0.0,62885.2,-159762.19,118976.99,False,0.0,0.0,0.0,0,-0.3648042367709555
14,240296.22,0.0,0.0,932266.54,1155536.75,-240296.22,17026.01000000001,False,0.0,0.0,0.0,0,-0.3560506855569398
14,133440.92,91502.46,0.0,211672.0,0.0,-41938.46000000001,345112.92000000004,False,0.0,0.0,0.0,0,-0.33129638920892923
9,125390.25,0.0,0.0,2584029.08,2953627.7,-125390.25,-244208.3700000001,False,0.0,0.0,0.0,0,-0.3481351476516513
14,619334.08,35434.0,0.0,436461.22,1055795.3,-583900.08,-2.3283064365386963e-10,False,0.0,0.0,0.0,0,-0.3073024463489753
9,1987680.37,297246.38,0.0,2784402.02,4646886.32,-1690433.9900000002,125196.0700000003,True,0.0,0.0,0.0,0,-0.13004236586201112
10,599151.39,45312.0,0.0,0.0,886389.48,-553839.39,-287238.08999999997,False,0.0,0.0,0.0,0,-0.31216811382023657
12,290555.17,0.0,0.0,456812.33,747367.49,-290555.17,0.010000000009313226,True,0.0,0.0,0.0,0,-0.323666146063801
12,487217.31,62377.0,0.0,411839.56,953681.28,-424840.31,-54624.41000000003,False,0.0,0.0,0.0,0,-0.3362229458161661
11,337919.24,11401.0,0.0,37251.42,423983.49,-326518.24,-48812.830000000016,False,0.0,0.0,0.0,0,-0.36237135504559065
13,97849.3,0.0,0.0,801552.41,899401.71,-97849.3,1.1641532182693481e-10,False,0.0,0.0,0.0,0,-0.3716428760241227
13,278287.11,0.0,0.0,1382698.9,2176831.45,-278287.11,-515845.4400000004,False,0.0,0.0,0.0,0,-0.34961198278927663
10,58738.08,0.0,0.0,558972.15,780417.36,-58738.08,-162707.13,False,0.0,0.0,0.0,0,-0.36554689671773344
10,568036.95,0.0,0.0,1419583.71,1987620.66,-568036.95,0.0,True,0.0,0.0,0.0,0,-0.30502573868350635
11,37974.57,0.0,0.0,458301.16,496275.73,-37974.57,0.0,False,0.0,0.0,0.0,0,-0.3692005823018113
10,119903.41,0.0,0.0,660953.5,780856.91,-119903.41,0.0,True,0.0,1.0,0.0,0,-0.3178414376834805
13,340777.92,30386.0,0.0,162643.54,503421.46,-310391.92,-5.820766091346741e-11,False,0.0,0.0,0.0,0,-0.3591176539271492
9,152189.06,100.0,0.0,61767.63,118542.99,-152089.06,95413.7,False,0.0,0.0,0.0,0,-0.3631655300516916
14,88553.2,557289.34,468736.14,5976137.29,6365391.56,-5.820766091346741e-11,-300701.06999999937,False,0.0,0.0,0.0,0,-0.18596118296002917
14,274887.65,0.0,0.0,767020.66,1948173.1,-274887.65,-906264.79,True,0.0,0.0,0.0,0,-0.27549530179547554
12,137882.96,0.0,0.0,259399.27,312985.86,-137882.96,84296.37,False,0.0,0.0,0.0,0,-0.37388150347340743
14,481429.88,109926.0,0.0,1071180.13,1552610.01,-371503.88,-2.3283064365386963e-10,False,0.0,0.0,0.0,0,-0.31492112022748814
10,267596.06,0.0,0.0,463675.51,1385991.18,-267596.06,-654719.6099999999,False,0.0,0.0,0.0,0,-0.34614455408191874
13,378090.28,0.0,0.0,1112814.27,1490904.55,-378090.28,0.0,False,0.0,0.0,0.0,0,-0.34618477459279845
5,41624.47,7020.58,0.0,196087.14,69876.14,-34603.89,167835.47000000003,False,0.0,1.0,0.0,0,-0.28767544224850655
11,102986.8,6065.0,0.0,0.0,102986.8,-96921.8,0.0,False,0.0,0.0,0.0,0,-0.37220617332039724
13,507340.84,0.0,0.0,1251626.68,1821148.84,-507340.84,-62181.320000000065,False,0.0,0.0,0.0,0,-0.33532500840884
11,284143.55,0.0,0.0,1782863.81,2067007.36,-284143.55,0.0,False,0.0,0.0,0.0,0,-0.3659450668219635
8,280121.99,569024.07,288902.08,0.0,280121.99,-5.820766091346741e-11,0.0,False,0.0,0.0,0.0,0,-0.2386016875924768
9,102627.74,0.0,0.0,129454.74,120994.81,-102627.74,111087.67000000001,False,0.0,0.0,0.0,0,-0.36483075576656776
14,6386.94,272758.14,266371.2,0.0,6386.94,0.0,0.0,False,0.0,0.0,0.0,0,-0.27220564476027437
9,30389.36,0.0,0.0,4197731.4,4335551.91,-30389.36,-107431.14999999944,False,0.0,0.0,0.0,0,-0.3160872224460637
13,2132.81,0.0,0.0,123014.26,125147.08,-2132.81,-0.010000000009313226,False,0.0,0.0,0.0,0,-0.35037411185882067
10,36864.76,0.0,0.0,4314075.19,4963942.73,-36864.76,-613002.7800000003,False,0.0,0.0,0.0,0,-0.3151041548784073
9,667706.46,30541.0,0.0,10112.0,1480748.37,-637165.46,-802929.9100000001,True,0.0,0.0,0.0,0,-0.2526442321530779
11,64136.59,14112.0,0.0,925622.16,989758.75,-50024.59,0.0,False,0.0,0.0,0.0,0,-0.36905884957664414
9,24998.09,0.0,0.0,30382.0,289915.0,-24998.09,-234534.91,False,0.0,1.0,0.0,0,-0.3567445961932365
10,204245.95,119419.0,0.0,9740706.84,10066562.48,-84826.95000000001,-121609.69000000134,False,0.0,0.0,0.0,0,-0.22599939842212263
10,387360.18,0.0,0.0,851065.31,1412694.88,-387360.18,-174269.3899999999,False,0.0,0.0,0.0,0,-0.34386376768553467
12,181625.47,33.0,0.0,109489.55,291115.02,-181592.47,0.0,False,0.0,0.0,0.0,0,-0.37042420791750713
8,60913.55,0.0,0.0,7416753.25,9264344.9,-60913.55,-1786678.1000000006,False,0.0,0.0,0.0,0,-0.2117741255165867
14,348798.64,45482.05,0.0,4682967.9,5031766.55,-303316.59,-0.009999999776482582,False,0.0,0.0,0.0,0,-0.31103293664228926
10,158218.67,21593.0,0.0,108.0,177820.72,-136625.67,-19494.04999999999,False,0.0,0.0,0.0,0,-0.3729401726614649
13,219309.03,0.0,0.0,482607.65,701916.68,-219309.03,0.0,False,0.0,0.0,0.0,0,-0.36911711737735553
12,61679.39,733341.61,671662.22,1173725.81,1426643.98,0.0,-191238.78000000003,True,0.0,0.0,0.0,0,-0.16790362493477595
14,109964.15,0.0,0.0,5236456.19,5050108.94,-109964.15,296311.4000000004,False,0.0,0.0,0.0,0,-0.3091340511739854
14,759971.59,0.0,0.0,6108961.73,7083826.25,-759971.59,-214892.9299999997,True,0.0,0.0,0.0,0,-0.19391071661917092
13,74442.92,0.0,0.0,189182.73,263625.65,-74442.92,0.0,False,0.0,0.0,0.0,0,-0.3706900733482814
9,51315.11,23.0,0.0,0.0,121379.75,-51292.11,-70064.64,False,0.0,0.0,0.0,0,-0.3619355662198845
14,582898.28,45705.0,0.0,5580.0,342653.46,-537193.28,245824.82,True,0.0,0.0,0.0,0,-0.27470909920736863
13,247217.06,5853.0,0.0,293385.61,540602.66,-241364.06,0.009999999892897904,False,0.0,0.0,0.0,0,-0.3677983447164347
10,459759.66,158359.0,0.0,0.0,590769.26,-301400.66,-131009.60000000003,False,0.0,0.0,0.0,0,-0.3258591229053238
13,92246.48,112684.0,20437.52,6206722.57,6298969.05,3.637978807091713e-12,9.313225746154785e-10,False,0.0,0.0,0.0,0,-0.2767756115319862
11,214456.18,3189.0,0.0,164287.49,378743.68,-211267.18,-0.010000000009313226,False,0.0,0.0,0.0,0,-0.372083788043627
12,156350.83,0.0,0.0,201745.0,0.0,-156350.83,358095.82999999996,False,0.0,0.0,0.0,0,-0.3611998411481931
12,546935.47,23475.0,0.0,0.0,546935.47,-523460.47,0.0,False,0.0,0.0,0.0,0,-0.33349278861018583
11,25787.72,0.0,0.0,1964545.97,1990333.69,-25787.72,0.0,False,0.0,0.0,0.0,0,-0.35599610925169234
11,311849.37,24633.0,0.0,0.0,369350.07,-287216.37,-57500.70000000001,False,0.0,0.0,0.0,0,-0.3637246614475753
9,4876.9,0.0,0.0,77299.53,82176.43,-4876.9,0.0,False,0.0,1.0,0.0,0,-0.3424155566882932
13,215113.22,0.0,0.0,504668.49,570916.09,-215113.22,148865.62,False,0.0,0.0,0.0,0,-0.36792748749499976
8,245586.79,62954.0,0.0,0.0,629147.18,-182632.79,-383560.39,False,0.0,0.0,0.0,0,-0.3302791663022744
12,915281.82,301358.0,0.0,9916.0,1760917.16,-613923.82,-835719.34,True,0.0,0.0,0.0,0,-0.2008843852339478
11,47607.48,10859.0,0.0,3076020.8,3587381.64,-36748.48,-463753.36000000034,False,0.0,0.0,0.0,0,-0.3473420295924424
11,237925.63,55098.0,0.0,1767817.66,1710580.83,-182827.63,295162.45999999996,False,0.0,0.0,0.0,0,-0.35621676863034063
8,159584.49,32.0,0.0,86465.84,246050.32,-159552.49,0.009999999980209395,False,0.0,0.0,0.0,0,-0.3478828362405735
13,52667.33,308823.0,256155.67,0.0,52667.33,-2.9103830456733704e-11,0.0,False,0.0,0.0,0.0,0,-0.29405624580223233
9,316943.65,331105.55,14161.9,1797645.42,2335429.66,-3.456079866737127e-11,-220840.59000000032,True,0.0,1.0,0.0,0,-0.234196809183158
12,365721.72,10448.0,0.0,57929.15,423650.88,-355273.72,-0.010000000009313226,False,0.0,0.0,0.0,0,-0.3579785029203651
9,301244.91,0.0,0.0,1032531.96,1333776.88,-301244.91,-0.010000000009313226,False,0.0,0.0,0.0,0,-0.3542159205869607
10,126817.07,205857.0,79039.93,17868.0,0.0,0.0,144685.07,False,0.0,0.0,0.0,0,-0.31711722346493426
14,99782.25,29809.0,0.0,545410.98,645193.23,-69973.25,0.0,False,0.0,0.0,0.0,0,-0.3667849869403503
11,339468.16,0.0,0.0,2312194.58,2651662.74,-339468.16,0.0,False,0.0,0.0,0.0,0,-0.353762121650087
9,152707.69,3397.0,0.0,91625.74,326951.75,-149310.69,-82618.32,False,0.0,0.0,0.0,0,-0.3669030238595819
8,41792.77,20043.0,0.0,24065.0,1093089.7,-21749.769999999997,-1027231.9299999999,False,0.0,1.0,0.0,0,-0.31383837961929756
11,34101.01,14763.0,0.0,286757.72,470130.56,-19338.010000000002,-149271.83000000002,False,0.0,0.0,0.0,0,-0.36555755622918373
6,225464.91,103559.0,0.0,81276.96,542942.3,-121905.91,-236200.43000000005,True,0.0,1.0,0.0,0,-0.23176678204267104
9,2957330.91,0.0,0.0,7782793.14,10403208.53,-2957330.91,336915.5200000014,True,0.0,0.0,0.0,0,-0.06406095807615175
14,188007.83,380262.0,192254.17,27408.0,402907.27,0.0,-187491.44000000003,True,0.0,0.0,0.0,0,-0.21808730031526735
12,179164.54,0.0,0.0,1378590.27,1067981.32,-179164.54,489773.49,False,0.0,0.0,0.0,0,-0.3428757902345962
10,61924.16,0.0,0.0,1394495.68,1456419.84,-61924.16,-2.3283064365386963e-10,False,0.0,0.0,0.0,0,-0.35779047403856484
11,175048.0,0.0,0.0,700522.82,1163780.67,-175048.0,-288209.85,False,0.0,0.0,0.0,0,-0.3680260662531564
10,8405.9,0.0,0.0,150120.57,6619.09,-8405.9,151907.38,False,0.0,0.0,0.0,0,-0.35266523770833413
12,304016.06,200264.41,0.0,1073.0,305089.06,-103751.65,0.0,False,0.0,0.0,0.0,0,-0.3431737196823108
11,177267.11,0.0,0.0,239977.66,417244.77,-177267.11,0.0,False,0.0,0.0,0.0,0,-0.37438202969660084
9,63274.06,786328.02,723053.97,445470.55,438722.98,-0.010000000009313226,70021.63,False,0.0,0.0,0.0,0,-0.20637099406141368
13,52939.42,0.0,0.0,68357.19,319165.94,-52939.42,-197869.33000000002,False,0.0,0.0,0.0,0,-0.3667978424532281
10,2298692.03,51612.0,0.0,354847.16,2834812.6,-2247080.03,-181273.41000000015,True,0.0,0.0,0.0,0,-0.156881225208661
10,141987.71,419310.66,277322.95,757008.32,916240.1,-5.820766091346741e-11,-17244.070000000065,False,0.0,0.0,0.0,0,-0.2775680727804267
8,32341.84,104059.0,71717.16,2478709.3,2511051.14,0.0,-4.656612873077393e-10,False,0.0,0.0,0.0,0,-0.28624020807595946
